Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   6174.93     0.01    59938     0.00     0.00  __mod_clm_initgridcells_MOD_clm_ptrs_check
  0.00   6174.94     0.01    17331     0.00     0.00  __mod_memutil_MOD_assignp3d4_d
  0.00   6174.95     0.01     5312     0.00     0.00  __mod_date_MOD_days_from_reference_to_date
  0.00   6174.96     0.01      580     0.00     0.00  __mod_clm_snowhydrology_MOD_buildsnowfilter
  0.00   6174.97     0.01      290     0.00     0.00  __mod_clm_snowhydrology_MOD_snowcompaction
  0.00   6174.98     0.01      290     0.00     0.00  __mod_ocn_common_MOD_ocn_interf
  0.00   6174.99     0.01      206     0.00     0.00  __mod_zita_MOD_md_ak
  0.00   6175.00     0.01      145     0.00     0.00  __mod_clm_pftdyn_MOD_pftdyn_wbal_init
  0.00   6175.01     0.01      145     0.00     0.00  __mod_clm_snowhydrology_MOD_dividesnowlayers
  0.00   6175.02     0.01       50     0.00     0.00  __mod_clm_staticecosysdyn_MOD_interpmonthlyveg
  0.00   6175.03     0.01       49     0.00     0.00  __mod_lm_interface_MOD_surface_albedo
  0.00   6175.04     0.01       24     0.00     0.00  __mod_mppparam_MOD_real8_2d_do_sub_collect
  0.00   6175.05     0.01       16     0.00     0.00  __mod_output_MOD_vinterz.constprop.4
  0.00   6175.06     0.01       15     0.00     0.00  __mod_clm_accumul_MOD_init_accum_field
  0.00   6175.07     0.01        2     0.00     0.00  __mod_clm_histfile_MOD_hist_restart_ncd
  0.00   6175.08     0.01        1     0.00     0.00  __mod_clm_accflds_MOD_initaccclmtype
  0.00   6175.09     0.01        1     0.00     0.00  __mod_clm_dust_MOD_dustini
  0.00   6175.10     0.01        1     0.00     0.00  __mod_clm_initgridcells_MOD_initgridcells
  0.00   6175.11     0.01        1     0.00     0.00  __mod_clm_urban_MOD_urbanclumpinit
  0.00   6175.12     0.01        1     0.00     0.00  __mod_params_MOD_param
  0.00   6175.13     0.01        1     0.00     0.00  __mod_vertint_MOD_intlinprof
  0.00   6175.14     0.01                             __mod_cbmz_linearalgebra_MOD_kppdecomp
  0.00   6175.15     0.01                             __mod_mppparam_MOD_real8_4d_exchange
  0.00   6175.16     0.01                             __mod_mppparam_MOD_real8_4d_exchange_bottom_top
  0.00   6175.16     0.01     1440     0.00     0.00  __mod_pbl_interface_MOD_pblscheme
  0.00   6175.17     0.01        1     0.00     0.00  __mod_rad_interface_MOD_allocate_radiation
  0.00   6175.17     0.00  3124077     0.00     0.00  __mod_zita_MOD_gzita
  0.00   6175.17     0.00   648918     0.00     0.00  __mod_date_MOD_yeardays
  0.00   6175.17     0.00   294912     0.00     0.00  __mod_heatindex_MOD_heatindex
  0.00   6175.17     0.00   110592     0.00     0.00  __mod_runparams_MOD_isocean
  0.00   6175.17     0.00    59937     0.00     0.00  __mod_clm_initgridcells_MOD_set_landunit_wet_ice_lake
  0.00   6175.17     0.00    11767     0.00     0.00  __mod_mppparam_MOD_meanall_real8
  0.00   6175.17     0.00    11521     0.00     0.00  __mod_timer_MOD_alarm_act
  0.00   6175.17     0.00    10080     0.00     0.00  __mod_timer_MOD_alarm_check
  0.00   6175.17     0.00     8640     0.00     0.00  __mod_timer_MOD_syncro_check
  0.00   6175.17     0.00     8092     0.00     0.00  __mod_memutil_MOD_assignp2d3_d
  0.00   6175.17     0.00     7881     0.00     0.00  __mod_mppparam_MOD_linear_to_global_real8_subgrid_subgrid
  0.00   6175.17     0.00     7644     0.00     0.00  __mod_timer_MOD_is_start
  0.00   6175.17     0.00     4884     0.00     0.00  __mod_date_MOD_initfromtypedt
  0.00   6175.17     0.00     4770     0.00     0.00  __mod_timer_MOD_is_integrating
  0.00   6175.17     0.00     4267     0.00     0.00  __mod_memutil_MOD_assignp2d4_d
  0.00   6175.17     0.00     3532     0.00     0.00  __mod_mppparam_MOD_linear_to_cartesian_real8_subgrid_subgrid
  0.00   6175.17     0.00     3070     0.00     0.00  __mod_timer_MOD_syncro_willact
  0.00   6175.17     0.00     3024     0.00     0.00  __mod_date_MOD_lfdomonth
  0.00   6175.17     0.00     3022     0.00     0.00  __mod_date_MOD_lmidnight
  0.00   6175.17     0.00     2903     0.00     0.00  __mod_mppparam_MOD_cartesian_to_linear_real8_subgrid_subgrid
  0.00   6175.17     0.00     2881     0.00     0.00  __mod_bdycod_MOD_is_present_qc
  0.00   6175.17     0.00     2881     0.00     0.00  __mod_bdycod_MOD_is_present_qi
  0.00   6175.17     0.00     2879     0.00     0.00  __mod_timer_MOD_syncro_act
  0.00   6175.17     0.00     2651     0.00     0.00  __mod_clm_nchelper_MOD_clm_checkncerr
  0.00   6175.17     0.00     2205     0.00     0.00  __mod_date_MOD_add_interval
  0.00   6175.17     0.00     2186     0.00     0.00  __mod_mppparam_MOD_global_to_linear_real8_subgrid_subgrid
  0.00   6175.17     0.00     2157     0.00     0.00  __mod_clm_decomp_MOD_get_proc_bounds
  0.00   6175.17     0.00     1878     0.00     0.00  __mod_message_MOD_checkalloc
  0.00   6175.17     0.00     1594     0.00     0.00  __mod_date_MOD_yeardayfrac
  0.00   6175.17     0.00     1440     0.00     0.00  __mod_micro_interface_MOD_microscheme
  0.00   6175.17     0.00     1440     0.00     0.00  __mod_mppparam_MOD_real8_2d_exchange_left_bottom
  0.00   6175.17     0.00     1440     0.00     0.00  __mod_mppparam_MOD_real8_2d_exchange_left_right_bottom_top
  0.00   6175.17     0.00     1440     0.00     0.00  __mod_timer_MOD_step_timer
  0.00   6175.17     0.00     1060     0.00     0.00  __mod_ncstream_MOD_add_attribute
  0.00   6175.17     0.00      648     0.00     0.00  __mod_mppparam_MOD_glosplitw
  0.00   6175.17     0.00      549     0.00     0.00  __mod_clm_nchelper_MOD_clm_addvar
  0.00   6175.17     0.00      538     0.00     0.00  __mod_date_MOD_initfromdoubleit
  0.00   6175.17     0.00      499     0.00     0.00  __mod_ncstream_MOD_outstream_sync
  0.00   6175.17     0.00      438     0.00     0.00  __mod_clm_decomp_MOD_get_proc_global
  0.00   6175.17     0.00      371     0.00     0.00  __mod_mppparam_MOD_real8_2d_collect
  0.00   6175.17     0.00      338     0.00     0.00  __mod_timer_MOD_alarm_willact
  0.00   6175.17     0.00      290     0.00     0.00  __mod_date_MOD_daymon_is
  0.00   6175.17     0.00      290     0.00     0.00  __mod_date_MOD_split_rcm_date
  0.00   6175.17     0.00      288     0.00     0.00  __mod_ncstream_MOD_outstream_addatt
  0.00   6175.17     0.00      288     0.00     0.00  __mod_space_MOD_getspc1d_r8arr
  0.00   6175.17     0.00      269     0.00     0.00  __mod_space_MOD_getspc2d_r8arr
  0.00   6175.17     0.00      261     0.00     0.00  __mod_clm_nchelper_MOD_clm_writevar_real8_1d_par_sg
  0.00   6175.17     0.00      252     0.00     0.00  __mod_space_MOD_getspc3d_r8arr
  0.00   6175.17     0.00      248     0.00     0.00  __mod_date_MOD_timeval2date_double
  0.00   6175.17     0.00      206     0.00     0.00  __mod_zita_MOD_md_bk
  0.00   6175.17     0.00      196     0.00     0.00  __mod_date_MOD_curr_date
  0.00   6175.17     0.00      188     0.00     0.00  __mod_mppparam_MOD_real8_2d_exchange
  0.00   6175.17     0.00      180     0.00     0.00  __mod_mppparam_MOD_real8_3d_collect
  0.00   6175.17     0.00      178     0.00     0.00  __mod_clm_nchelper_MOD_clm_writevar_integer_1d_par_sg
  0.00   6175.17     0.00      150     0.00     0.00  __mod_date_MOD_ndaypm
  0.00   6175.17     0.00      149     0.00     0.00  __mod_date_MOD_yearpoint
  0.00   6175.17     0.00      149     0.00     0.00  __mod_sunorbit_MOD_orb_decl
  0.00   6175.17     0.00      146     0.00     0.00  __mod_date_MOD_curr_time
  0.00   6175.17     0.00      146     0.00     0.00  __mod_date_MOD_initfromintit
  0.00   6175.17     0.00      145     0.00     0.00  __mod_clm_drydepvelocity_MOD_depvel_compute
  0.00   6175.17     0.00      145     0.00     0.00  __mod_clm_histfile_MOD_hist_htapes_wrapup
  0.00   6175.17     0.00      145     0.00     0.00  __mod_clm_pft2col_MOD_pft2col
  0.00   6175.17     0.00      145     0.00     0.00  __mod_clm_snowhydrology_MOD_dividesnowlayers_lake
  0.00   6175.17     0.00      145     0.00     0.00  __mod_clm_time_manager_MOD_is_end_curr_year
  0.00   6175.17     0.00      145     0.00     0.00  __mod_clm_time_manager_MOD_is_middle_curr_year
  0.00   6175.17     0.00      145     0.00     0.00  __mod_ocn_common_MOD_vecocn
